date,epiweek,RO,AC,AM,RR,PA,AP,TO,MA,PI,CE,RN,PB,PE,AL,SE,BA,MG,ES,RJ,SP,PR,SC,RS,MS,MT,GO,DF
2010-01-03,201001,2456,760,155,25,115,34,231,13,59,138,19,11,64,73,3,539,2124,164,289,1628,110,10,12,1859,3563,5163,107
2010-01-10,201002,2404,896,162,29,173,58,278,27,52,173,27,20,72,98,7,564,2826,206,316,2461,135,15,13,2406,3578,6473,219
2010-01-17,201003,2213,892,60,28,176,33,357,35,57,222,27,17,100,146,5,623,3705,211,347,2894,162,8,8,3031,3470,6703,284
2010-01-24,201004,2070,1235,90,38,176,43,360,36,78,241,34,47,131,162,4,634,5000,202,375,3952,285,6,6,3553,3221,6753,372
2010-01-31,201005,1949,1811,96,68,240,89,367,40,101,311,20,63,196,245,3,866,5800,230,448,5372,425,11,15,3842,2888,6728,474
2010-02-07,201006,1498,1927,91,98,192,72,333,23,144,338,23,54,216,227,1,737,6008,256,391,7808,734,8,27,4771,2304,5975,536
2010-02-14,201007,1318,2160,99,105,258,92,398,43,146,337,41,68,333,458,1,882,7263,319,479,10841,1027,13,149,4484,2062,5282,676
2010-02-21,201008,873,1969,90,116,272,96,486,49,148,418,33,53,417,670,3,1031,9572,420,684,12566,1387,15,465,4276,1776,4884,905
2010-02-28,201009,728,1989,135,184,401,93,484,60,200,506,41,122,484,1005,7,1405,11456,585,686,14213,1824,9,686,4490,1679,4723,1005
2010-03-07,201010,554,1651,106,117,446,60,419,72,192,475,48,113,549,1552,6,1635,11359,652,653,14241,2158,8,506,3947,1413,4093,787
2010-03-14,201011,353,1476,83,151,514,46,445,81,173,372,55,89,643,1757,4,1859,13774,925,779,15875,2711,4,470,4499,1209,4074,950
2010-03-21,201012,268,1039,63,149,392,15,429,58,168,353,64,76,660,1979,10,1713,13781,679,794,15865,3214,7,376,3906,914,3528,934
2010-03-28,201013,237,915,43,159,332,36,400,52,191,314,58,84,660,2350,12,1501,14594,794,970,15969,3216,9,278,3295,663,3222,899
2010-04-04,201014,273,875,72,254,391,41,422,63,194,315,74,88,635,2098,11,2032,17820,1065,1158,14526,3511,9,249,2892,600,3232,1023
2010-04-11,201015,193,692,74,188,308,43,411,68,201,345,82,96,646,2103,15,1655,13964,957,1101,10881,2841,8,165,2194,505,2609,850
2010-04-18,201016,163,522,109,229,279,50,412,81,222,351,79,117,757,2136,16,1620,12650,1106,1264,10891,2830,9,61,1984,523,2424,724
2010-04-25,201017,175,595,69,188,263,63,376,100,304,456,117,142,936,1897,14,2023,14327,1218,1672,12492,3121,7,34,2036,477,2866,837
2010-05-02,201018,120,477,92,217,283,47,336,97,224,446,118,158,1131,2114,21,2099,13575,1206,1744,10497,2728,8,36,1564,344,2642,972
2010-05-09,201019,86,396,124,219,290,81,239,117,312,505,143,213,1446,2128,29,2089,9859,1312,1654,7306,1711,3,15,993,190,1776,751
2010-05-16,201020,69,258,90,284,269,69,239,77,264,581,169,258,1615,1776,38,2240,6954,1274,1525,4431,658,1,9,464,179,1463,642
2010-05-23,201021,40,204,83,414,263,67,183,85,246,477,159,193,1792,1741,26,2048,4939,1080,1261,3071,381,4,3,308,170,1083,612
2010-05-30,201022,48,210,148,584,241,76,159,89,261,477,182,268,2076,1845,21,1767,3149,945,1107,2119,247,1,2,195,159,862,407
2010-06-06,201023,42,276,173,525,263,65,139,118,234,503,231,252,1988,1763,20,1511,1898,876,866,1483,234,0,7,178,152,716,217
2010-06-13,201024,53,185,186,411,257,61,113,142,213,530,241,200,1511,1649,16,1071,1199,714,688,897,199,2,4,150,107,552,187
2010-06-20,201025,33,185,117,370,196,45,79,99,219,362,274,188,1430,1384,18,872,843,605,600,626,154,2,2,129,95,440,119
2010-06-27,201026,44,194,128,359,216,47,48,96,228,387,293,281,1657,1532,8,873,638,496,577,489,122,3,3,151,106,328,97
2010-07-04,201027,22,211,162,209,195,66,45,126,206,405,306,251,1557,1255,14,830,499,473,563,312,90,1,6,109,105,322,63
