date,pred,lower_95,lower_90,lower_80,lower_50,upper_50,upper_80,upper_90,upper_95
2025-10-05,502.88134807800293,0.0,0.0,0.0,216.09408989768383,789.668606258322,1048.3728391568889,1202.8294782065263,1336.8620988694352
2025-10-12,485.2138059247047,0.0,0.0,0.0,198.42654774438557,772.0010641050237,1030.7052970035904,1185.1619360532281,1319.194556716137
2025-10-19,547.7134031868884,0.0,0.0,2.2219121080025843,260.9261450065693,834.5006613672075,1093.2048942657743,1247.6615333154118,1381.6941539783206
2025-10-26,545.0515381779086,0.0,0.0,0.0,258.2642799975895,831.8387963582277,1090.5430292567944,1244.999668306432,1379.0322889693407
2025-11-02,566.8814849472844,0.0,0.0,21.38999386839862,280.09422676696533,853.6687431276035,1112.3729760261704,1266.8296150758079,1400.8622357387167
2025-11-09,678.9954722630771,0.0,0.0,133.50398118419128,392.208214082758,965.7827304433962,1224.486963341963,1378.9436023916005,1512.9762230545093
2025-11-16,732.192600973956,0.0,32.24447084543249,186.7011098950702,445.4053427936369,1018.9798591542751,1277.6840920528418,1432.1407311024795,1566.1733517653884
2025-11-23,846.2445172487621,12.263766457329893,146.2963871202386,300.7530261698763,559.457259068443,1133.0317754290813,1391.736008327648,1546.1926473772855,1680.2252680401944
2025-11-30,945.4905616477425,111.50981085631031,245.542431519219,399.9990705688567,658.7033034674234,1232.2778198280616,1490.9820527266284,1645.438691776266,1779.4713124391747
2025-12-07,1082.333725015598,248.3529742241658,382.3855948870745,536.8422339367122,795.5464668352789,1369.1209831959172,1627.825216094484,1782.2818551441214,1916.3144758070302
2025-12-14,1054.8120775041618,220.8313267127296,354.8639473756383,509.320586425276,768.0248193238427,1341.599335684481,1600.3035685830478,1754.7602076326853,1888.792828295594
2025-12-21,800.3564880709547,0.0,100.40835794243117,254.86499699206888,513.5692298906356,1087.1437462512738,1345.8479791498405,1500.3046181994782,1634.337238862387
2025-12-28,868.0061389691439,34.02538817771165,168.05800884062035,322.51464789025806,581.2188807888248,1154.793397149463,1413.4976300480298,1567.9542690976673,1701.986889760576
2026-01-04,1844.1626060733568,1010.1818552819245,1144.2144759448333,1298.6711149944708,1557.3753478930375,2130.949864253676,2389.6540971522427,2544.11073620188,2678.143356864789
