date,pred,lower_95,lower_90,lower_80,lower_50,upper_50,upper_80,upper_90,upper_95
2025-10-05,237.6646434771201,0.0,0.0,0.0,0.0,1174.319263807427,2019.2539955000477,2523.71338300732,2961.467396959911
2025-10-12,227.442208397814,0.0,0.0,0.0,0.0,1164.0968287281207,2009.0315604207417,2513.4909479280136,2951.244961880605
2025-10-19,307.1939039236011,0.0,0.0,0.0,0.0,1243.848524253908,2088.7832559465287,2593.242643453801,3030.9966574063924
2025-10-26,315.2057349061787,0.0,0.0,0.0,0.0,1251.8603552364855,2096.795086929106,2601.2544744363786,3039.00848838897
2025-11-02,356.2134115839799,0.0,0.0,0.0,0.0,1292.8680319142868,2137.8027636069073,2642.2621511141797,3080.016165066771
2025-11-09,476.3362405015271,0.0,0.0,0.0,0.0,1412.9908608318337,2257.9255925244547,2762.3849800317266,3200.1389939843184
2025-11-16,545.7669518790794,0.0,0.0,0.0,0.0,1482.4215722093863,2327.3563039020073,2831.815691409279,3269.5697053618705
2025-11-23,804.9609361720048,0.0,0.0,0.0,0.0,1741.6155565023116,2586.5502881949324,3091.0096757022047,3528.763689654796
2025-11-30,928.732942881829,0.0,0.0,0.0,0.0,1865.3875632121358,2710.3222949047567,3214.7816824120287,3652.53569636462
2025-12-07,1117.9869489541918,0.0,0.0,0.0,181.33232862388502,2054.6415692844985,2899.5763009771194,3404.0356884843914,3841.789702436983
2025-12-14,1216.0534244595706,0.0,0.0,0.0,279.3988041292638,2152.7080447898775,2997.6427764824984,3502.1021639897704,3939.8561779423617
2025-12-21,1141.630838801054,0.0,0.0,0.0,204.9762184707473,2078.2854591313608,2923.2201908239817,3427.6795783312537,3865.4335922838454
2025-12-28,1570.8439793861091,0.0,0.0,0.0,634.1893590558024,2507.498599716416,3352.433331409037,3856.8927189163087,4294.6467328689005
2026-01-04,3511.462682652664,787.6599291698731,1225.4139431224644,1729.8733306297365,2574.8080623223573,4448.117302982971,5293.052034675592,5797.511422182864,6235.265436135455
2026-01-11,4369.519131534478,1645.7163780516871,2083.4703920042784,2587.929779511551,3432.8645112041713,5306.173751864785,6151.108483557406,6655.567871064678,7093.321885017269
2026-01-18,5528.480034242703,2804.6772807599123,3242.4312947125036,3746.890682219776,4591.8254139123965,6465.13465457301,7310.069386265631,7814.528773772903,8252.282787725495
2026-01-25,7263.91646229319,4540.113708810399,4977.8677227629905,5482.327110270263,6327.261841962883,8200.571082623497,9045.505814316119,9549.96520182339,9987.719215775982
2026-02-01,9374.965650358763,6651.162896875972,7088.916910828563,7593.376298335836,8438.311030028457,10311.620270689069,11156.55500238169,11661.014389888962,12098.768403841554
2026-02-08,11093.979346045211,8370.17659256242,8807.930606515012,9312.389994022284,10157.324725714905,12030.633966375517,12875.568698068138,13380.02808557541,13817.782099528002
2026-02-15,13843.107831574316,11119.305078091526,11557.059092044117,12061.518479551389,12906.45321124401,14779.762451904622,15624.697183597244,16129.156571104515,16566.910585057107
2026-02-22,15777.957357415893,13054.154603933102,13491.908617885692,13996.368005392966,14841.302737085587,16714.6119777462,17559.546709438822,18064.006096946094,18501.760110898686
2026-03-01,16464.797934056016,13740.995180573225,14178.749194525815,14683.208582033089,15528.14331372571,17401.452554386324,18246.387286078945,18750.846673586217,19188.60068753881
2026-03-08,17196.074632416687,14472.271878933896,14910.025892886486,15414.48528039376,16259.42001208638,18132.729252746994,18977.663984439616,19482.123371946887,19919.87738589948
2026-03-15,18882.360215839693,16158.557462356903,16596.311476309493,17100.770863816764,17945.705595509386,19819.01483617,20663.949567862623,21168.408955369894,21606.162969322486
2026-03-22,18641.362905672722,15917.560152189932,16355.314166142522,16859.773553649793,17704.708285342414,19578.01752600303,20422.95225769565,20927.411645202923,21365.165659155515
2026-03-29,16265.930156850995,13542.127403368204,13979.881417320794,14484.340804828067,15329.275536520689,17202.584777181302,18047.519508873924,18551.978896381195,18989.732910333787
2026-04-05,18721.88437454394,15998.08162106115,16435.83563501374,16940.29502252101,17785.229754213633,19658.53899487425,20503.47372656687,21007.93311407414,21445.687128026733
2026-04-12,17668.582277430673,14944.779523947882,15382.533537900472,15886.992925407745,16731.927657100365,18605.23689776098,19450.1716294536,19954.631016960873,20392.385030913465
2026-04-19,13968.957912767972,11245.155159285181,11682.909173237771,12187.368560745044,13032.303292437666,14905.612533098278,15750.5472647909,16255.006652298172,16692.760666250764
