date,pred,lower_95,lower_90,lower_80,lower_50,upper_50,upper_80,upper_90,upper_95
2025-10-05,384.6946170232971,0.0,0.0,0.0,0.0,1445.9117688144936,2403.2115140504693,2974.7572501041845,3470.726690481376
2025-10-12,383.27836771684906,0.0,0.0,0.0,0.0,1444.4955195080456,2401.795264744021,2973.3410007977363,3469.3104411749277
2025-10-19,401.78216775354366,0.0,0.0,0.0,0.0,1462.9993195447403,2420.2990647807155,2991.8448008344308,3487.814241211622
2025-10-26,418.65785114528205,0.0,0.0,0.0,0.0,1479.8750029364787,2437.174748172454,3008.7204842261694,3504.689924603361
2025-11-02,468.4266814801793,0.0,0.0,0.0,0.0,1529.6438332713758,2486.9435785073515,3058.4893145610667,3554.458754938258
2025-11-09,600.2913340688644,0.0,0.0,0.0,0.0,1661.508485860061,2618.8082310960363,3190.353967149752,3686.323407526943
2025-11-16,625.0540484070175,0.0,0.0,0.0,0.0,1686.271200198214,2643.5709454341895,3215.1166814879048,3711.086121865096
2025-11-23,789.2297707917802,0.0,0.0,0.0,0.0,1850.4469225829766,2807.746667818952,3379.2924038726674,3875.2618442498588
2025-11-30,939.1606037042332,0.0,0.0,0.0,0.0,2000.3777554954297,2957.6775007314054,3529.22323678512,4025.192677162312
2025-12-07,1147.816680782451,0.0,0.0,0.0,86.59952899125437,2209.0338325736475,3166.333577809623,3737.879313863338,4233.848754240529
2025-12-14,1368.3536328237303,0.0,0.0,0.0,307.13648103253377,2429.570784614927,3386.870529850902,3958.416265904618,4454.385706281809
2025-12-21,1206.4228013741838,0.0,0.0,0.0,145.20564958298723,2267.6399531653806,3224.9396984013556,3796.4854344550713,4292.454874832262
2025-12-28,1408.1483966511646,0.0,0.0,0.0,346.93124485996805,2469.365548442361,3426.6652936783366,3998.211029732052,4494.180470109243
2026-01-04,2930.750072632135,0.0,340.68743955124773,912.233175604963,1869.5329208409385,3991.9672244233316,4949.2669696593075,5520.812705713022,6016.782146090214
2026-01-11,3961.8801575434013,875.8480840853226,1371.817524462514,1943.3632605162293,2900.6630057522048,5023.097309334598,5980.397054570573,6551.942790624289,7047.91223100148
2026-01-18,5017.775793601681,1931.7437201436019,2427.7131605207933,2999.2588965745085,3956.558641810484,6078.992945392877,7036.292690628852,7607.838426682568,8103.807867059759
2026-01-25,7108.278957186571,4022.246883728492,4518.216324105683,5089.762060159399,6047.061805395374,8169.496108977767,9126.795854213742,9698.341590267457,10194.311030644649
2026-02-01,8335.443985670725,5249.411912212647,5745.381352589838,6316.927088643553,7274.226833879528,9396.66113746192,10353.960882697897,10925.506618751613,11421.476059128803
2026-02-08,10759.937967112124,7673.905893654046,8169.875334031237,8741.421070084953,9698.720815320929,11821.15511890332,12778.454864139296,13350.000600193012,13845.970040570202
2026-02-15,11578.743745914006,8492.711672455927,8988.681112833117,9560.226848886834,10517.52659412281,12639.960897705201,13597.260642941177,14168.806378994894,14664.775819372084
2026-02-22,13212.974989183596,10126.942915725518,10622.912356102708,11194.458092156425,12151.7578373924,14274.192140974792,15231.491886210768,15803.037622264485,16299.007062641675
2026-03-01,16671.21784629385,13585.185772835772,14081.155213212962,14652.700949266678,15610.000694502654,17732.434998085046,18689.734743321023,19261.28047937474,19757.24991975193
2026-03-08,19627.62610974488,16541.594036286802,17037.563476663992,17609.109212717707,18566.408957953685,20688.843261536076,21646.143006772054,22217.68874282577,22713.65818320296
2026-03-15,21964.81321629083,18878.78114283275,19374.75058320994,19946.296319263656,20903.596064499634,23026.030368082025,23983.330113318003,24554.875849371718,25050.845289748908
2026-03-22,23890.83384338877,20804.80176993069,21300.77121030788,21872.316946361596,22829.616691597574,24952.050995179965,25909.350740415943,26480.896476469658,26976.865916846848
2026-03-29,21911.617065387123,18825.584991929045,19321.554432306235,19893.10016835995,20850.399913595928,22972.83421717832,23930.133962414297,24501.67969846801,24997.6491388452
2026-04-05,25328.4003922855,22242.368318827423,22738.337759204613,23309.883495258327,24267.183240494305,26389.617544076697,27346.917289312674,27918.46302536639,28414.43246574358
2026-04-12,28241.312152718972,25155.280079260894,25651.249519638084,26222.7952556918,27180.095000927777,29302.529304510168,30259.829049746146,30831.37478579986,31327.34422617705
2026-04-19,24340.69672816404,21254.66465470596,21750.63409508315,22322.179831136866,23279.479576372843,25401.913879955235,26359.213625191212,26930.759361244927,27426.728801622117
2026-04-26,23195.82255031447,20109.790476856393,20605.759917233583,21177.305653287298,22134.605398523276,24257.039702105667,25214.339447341645,25785.88518339536,26281.85462377255
2026-05-03,21487.74430173092,18401.71222827284,18897.68166865003,19469.227404703746,20426.527149939724,22548.961453522115,23506.261198758093,24077.806934811808,24573.776375188998
2026-05-10,19319.883893373666,16233.851819915588,16729.821260292778,17301.366996346493,18258.66674158247,20381.10104516486,21338.40079040084,21909.946526454554,22405.915966831744
2026-05-17,16355.87403979949,13269.841966341412,13765.811406718603,14337.357142772318,15294.656888008292,17417.091191590687,18374.39093682666,18945.936672880376,19441.90611325757
2026-05-24,10338.478338598172,7252.446265140094,7748.415705517285,8319.961441571,9277.261186806976,11399.695490389367,12356.995235625343,12928.54097167906,13424.51041205625
2026-05-31,7713.446317823963,4627.414244365884,5123.383684743076,5694.9294207967905,6652.229166032766,8774.66346961516,9731.963214851135,10303.50895090485,10799.478391282042
2026-06-07,5321.510296850493,2235.4782233924147,2731.447663769606,3302.9933998233214,4260.293145059297,6382.72744864169,7340.027193877666,7911.572929931381,8407.542370308573
2026-06-14,4524.095742510418,1438.0636690523393,1934.0331094295307,2505.578845483246,3462.8785907192214,5585.3128943016145,6542.61263953759,7114.158375591305,7610.127815968497
2026-06-21,3792.164720374677,706.1326469165983,1202.1020872937897,1773.647823347505,2730.9475685834805,4853.381872165874,5810.6816174018495,6382.227353455564,6878.196793832756
2026-06-28,2570.8339294982984,0.0,0.0,552.3170324711264,1509.6167777071018,3632.051081289495,4589.35082652547,5160.896562579186,5656.866002956377
2026-07-05,1417.974196716726,0.0,0.0,0.0,356.7570449255295,2479.1913485079226,3436.491093743898,4008.0368297976133,4504.006270174805
2026-07-12,1229.4553666360653,0.0,0.0,0.0,168.2382148448687,2290.672518427262,3247.9722636632373,3819.5179997169525,4315.487440094144
2026-07-19,1020.8014462523631,0.0,0.0,0.0,0.0,2082.01859804356,3039.318343279535,3610.8640793332506,4106.833519710442
2026-07-26,983.0384023176094,0.0,0.0,0.0,0.0,2044.2555541088059,3001.5552993447814,3573.1010353984966,4069.070475775688
2026-08-02,775.6206293521755,0.0,0.0,0.0,0.0,1836.837781143372,2794.1375263793475,3365.6832624330627,3861.652702810254
2026-08-09,636.2696846225297,0.0,0.0,0.0,0.0,1697.4868364137262,2654.7865816497015,3226.332317703417,3722.301758080608
2026-08-16,621.5215961173094,0.0,0.0,0.0,0.0,1682.738747908506,2640.0384931444814,3211.5842291981967,3707.553669575388
2026-08-23,578.080961533647,0.0,0.0,0.0,0.0,1639.2981133248436,2596.597858560819,3168.1435946145343,3664.1130349917257
2026-08-30,507.1688068454081,0.0,0.0,0.0,0.0,1568.3859586366048,2525.6857038725802,3097.2314399262955,3593.200880303487
2026-09-06,532.3209006369976,0.0,0.0,0.0,0.0,1593.538052428194,2550.8377976641696,3122.383533717885,3618.352974095076
2026-09-13,605.4495805284846,0.0,0.0,0.0,0.0,1666.6667323196812,2623.9664775556566,3195.512213609372,3691.4816539865633
2026-09-20,572.9084613705687,0.0,0.0,0.0,0.0,1634.1256131617652,2591.4253583977406,3162.971094451456,3658.9405348286473
